,Fat,Protein,Lactose,Total solids,Urea,C4:0,C6:0,C8:0,C10:0,C12:0,C14:0,"C14:1,cis-9",C15:0,C16:0,C17:0,C18:0,"C18:1,n9 cis-9","C18:2,n6 cis-9,12","C18:3,n3 cis-9,12,15",TFA,SFA,UFA,MUFA,PUFA,SCFA,MCFA,LCFA
Fat,0,0.421,-0.06,0.93,0.082,0.09,0.219,0.18,0.2,0.2,0.138,0.17,0.15,0.269,0.267,0.232,0.18,0.147,0.16,0.193,0.176,0.173,0.179,0.094,0.212,0.196,0.215
Protein,0.664,0,-0.135,0.655,0.144,-0.072,0.117,0.09,0.209,0.277,0.157,0.223,0.229,0.191,0.111,-0.003,-0.159,0.004,0.013,0.025,0.078,-0.039,-0.029,-0.104,0.117,0.231,-0.07
Lactose,0.125,-0.107,0,0.082,0.052,0.02,-0.228,-0.097,-0.171,-0.179,-0.036,-0.168,-0.03,-0.141,-0.029,-0.078,-0.14,-0.277,-0.219,-0.085,-0.078,-0.1,-0.1,-0.14,-0.105,-0.165,-0.059
Total solids,0.978,0.74,0.183,0,0.137,0.095,0.211,0.18,0.247,0.258,0.187,0.231,0.211,0.28,0.238,0.198,0.107,0.094,0.132,0.158,0.163,0.121,0.13,0.017,0.225,0.222,0.163
Urea,0.202,0.228,0.102,0.257,0,0.199,-0.152,0.033,0.019,0.015,-0.023,-0.019,-0.159,-0.123,-0.169,-0.022,-0.101,-0.166,0.01,-0.136,-0.087,-0.144,-0.158,-0.088,0.068,-0.048,-0.208
C4:0,0.21,0.067,-0.02,0.238,0.366,0,0.085,0.404,0.237,0.136,0.139,0.013,0.008,0.1,0.031,0.328,0.183,0.056,0.25,0.22,0.265,0.134,0.123,0.169,0.554,0.237,0.111
C6:0,0.263,0.116,-0.101,0.279,-0.241,0.072,0,0.376,0.75,0.763,0.708,0.588,0.64,0.666,0.212,0.499,0.505,0.749,0.572,0.282,0.288,0.173,0.185,0.209,0.272,0.412,0.406
C8:0,0.318,0.228,-0.158,0.354,0.057,0.678,0.434,0,0.462,0.418,0.379,0.244,0.32,0.353,0.212,0.46,0.283,0.301,0.402,0.455,0.499,0.289,0.28,0.37,0.593,0.447,0.245
C10:0,0.297,0.241,-0.092,0.344,-0.047,0.293,0.865,0.6,0,0.865,0.717,0.63,0.539,0.72,0.103,0.496,0.403,0.592,0.647,0.334,0.392,0.168,0.169,0.305,0.456,0.544,0.3
C12:0,0.262,0.284,-0.056,0.319,-0.05,0.16,0.862,0.508,0.941,0,0.75,0.643,0.543,0.696,0.121,0.427,0.306,0.576,0.552,0.258,0.321,0.105,0.103,0.24,0.32,0.498,0.223
C14:0,0.283,0.239,-0.019,0.338,-0.103,0.267,0.88,0.612,0.928,0.917,0,0.613,0.701,0.605,0.106,0.482,0.356,0.553,0.539,0.309,0.354,0.164,0.164,0.194,0.318,0.513,0.315
"C14:1,cis-9",0.252,0.203,-0.104,0.278,-0.059,-0.006,0.801,0.353,0.818,0.84,0.805,0,0.597,0.652,0.15,0.31,0.423,0.548,0.426,0.271,0.273,0.201,0.207,0.161,0.22,0.387,0.306
C15:0,0.217,0.279,0.008,0.263,-0.243,0.097,0.653,0.417,0.644,0.663,0.798,0.653,0,0.531,0.268,0.309,0.397,0.564,0.425,0.371,0.373,0.233,0.237,0.209,0.246,0.56,0.432
C16:0,0.401,0.209,-0.037,0.42,-0.267,0.243,0.888,0.612,0.881,0.84,0.938,0.787,0.79,0,0.276,0.474,0.417,0.602,0.523,0.367,0.38,0.25,0.249,0.291,0.29,0.453,0.405
C17:0,0.324,0.152,-0.031,0.313,-0.253,0.16,0.3,0.343,0.258,0.245,0.327,0.323,0.376,0.493,0,0.267,0.186,0.215,0.086,0.676,0.611,0.608,0.601,0.506,0.207,0.226,0.365
C18:0,0.38,0.09,0.014,0.394,0.003,0.5,0.737,0.68,0.744,0.675,0.771,0.661,0.509,0.819,0.532,0,0.409,0.449,0.605,0.443,0.44,0.409,0.408,0.346,0.444,0.352,0.353
"C18:1,n9 cis-9",0.283,-0.11,0.032,0.257,-0.127,0.151,0.578,0.279,0.43,0.353,0.545,0.511,0.579,0.69,0.29,0.562,0,0.66,0.537,0.265,0.189,0.338,0.341,0.271,0.2,0.314,0.597
"C18:2,n6 cis-9,12",0.172,-0.039,-0.109,0.171,-0.247,0.042,0.856,0.352,0.7,0.677,0.779,0.791,0.68,0.829,0.238,0.681,0.799,0,0.606,0.246,0.2,0.214,0.209,0.295,0.198,0.371,0.508
"C18:3,n3 cis-9,12,15",0.272,0.032,-0.16,0.292,-0.024,0.402,0.767,0.69,0.839,0.723,0.846,0.751,0.584,0.869,0.342,0.818,0.703,0.822,0,0.351,0.375,0.263,0.245,0.413,0.416,0.478,0.407
TFA,0.255,0.108,-0.086,0.26,-0.153,0.406,0.381,0.676,0.474,0.385,0.521,0.327,0.473,0.626,0.846,0.662,0.353,0.303,0.574,0,0.974,0.851,0.84,0.801,0.488,0.48,0.383
SFA,0.247,0.128,-0.09,0.256,-0.128,0.42,0.359,0.684,0.471,0.386,0.509,0.31,0.448,0.6,0.837,0.649,0.289,0.258,0.55,0.997,0,0.75,0.734,0.767,0.556,0.516,0.294
UFA,0.177,-0.048,-0.064,0.153,-0.154,0.278,0.219,0.493,0.244,0.157,0.285,0.203,0.282,0.443,0.867,0.563,0.343,0.206,0.421,0.941,0.931,0,0.995,0.753,0.294,0.328,0.413
MUFA,0.17,-0.066,-0.058,0.144,-0.163,0.256,0.21,0.467,0.223,0.136,0.265,0.195,0.268,0.43,0.866,0.555,0.349,0.205,0.407,0.928,0.916,0.998,0,0.714,0.288,0.321,0.415
PUFA,0.114,-0.045,-0.138,0.106,-0.105,0.311,0.241,0.542,0.357,0.267,0.368,0.207,0.32,0.469,0.767,0.488,0.278,0.193,0.49,0.921,0.92,0.906,0.894,0,0.389,0.41,0.378
SCFA,0.334,0.259,-0.087,0.369,0.108,0.813,0.305,0.849,0.518,0.398,0.547,0.186,0.426,0.545,0.478,0.627,0.225,0.202,0.586,0.751,0.764,0.552,0.524,0.622,0,0.474,0.256
MCFA,0.345,0.254,-0.072,0.378,-0.145,0.466,0.578,0.739,0.677,0.59,0.78,0.46,0.767,0.821,0.555,0.635,0.578,0.546,0.756,0.793,0.777,0.585,0.562,0.668,0.815,0,0.439
LCFA,0.306,0.005,-0.006,0.289,-0.3,0.192,0.564,0.42,0.459,0.371,0.609,0.441,0.711,0.759,0.438,0.534,0.918,0.732,0.704,0.545,0.489,0.47,0.468,0.446,0.428,0.795,0
